
nov. 14, 2018 09:36:55.56 NEW SESSION
nov. 14, 2018 09:36:55.56 [7948:8036:1114/093655.558:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:36:58.85 [7948:8036:1114/093658.851:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:37:02.19 [7948:8036:1114/093702.196:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:37:17.68 [7948:8036:1114/093717.684:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:37:23.37 [7948:8036:1114/093723.369:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:37:24.30 [7948:8036:1114/093724.305:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:37:39.79 [7948:8036:1114/093739.792:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:37:45.49 [7948:8036:1114/093745.497:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:38:01.08 [7948:8036:1114/093801.084:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:38:01.95 [7948:8036:1114/093801.953:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:38:07.64 [7948:8036:1114/093807.639:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:38:23.21 [7948:8036:1114/093823.210:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:38:26.50 [7948:8036:1114/093826.504:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:38:29.75 [7948:8036:1114/093829.750:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:38:45.31 [7948:8036:1114/093845.318:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:38:48.61 [7948:8036:1114/093848.615:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:38:51.85 [7948:8036:1114/093851.857:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
