127.0.0.1 - - [15/Nov/2018:09:02:59 +0100] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [15/Nov/2018:09:03:00 +0100] "GET /ProyectoMVC/listausuarios.jsp HTTP/1.1" 200 693
0:0:0:0:0:0:0:1 - - [15/Nov/2018:09:03:00 +0100] "GET /ProyectoMVC/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2018:09:03:00 +0100] "GET /ProyectoMVC/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2018:09:03:00 +0100] "GET /favicon.ico HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [15/Nov/2018:09:03:08 +0100] "GET /ProyectoMVC/listausuarios HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Nov/2018:09:03:08 +0100] "GET /ProyectoMVC/login HTTP/1.1" 200 599
0:0:0:0:0:0:0:1 - - [15/Nov/2018:09:03:10 +0100] "POST /ProyectoMVC/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Nov/2018:09:03:10 +0100] "GET /ProyectoMVC/listausuarios HTTP/1.1" 200 1305
0:0:0:0:0:0:0:1 - - [15/Nov/2018:09:03:12 +0100] "GET /ProyectoMVC/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Nov/2018:09:03:12 +0100] "GET /ProyectoMVC/login HTTP/1.1" 200 599
0:0:0:0:0:0:0:1 - - [15/Nov/2018:09:03:13 +0100] "POST /ProyectoMVC/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Nov/2018:09:03:13 +0100] "GET /ProyectoMVC/listausuarios HTTP/1.1" 200 1305
0:0:0:0:0:0:0:1 - - [15/Nov/2018:09:03:16 +0100] "GET /ProyectoMVC/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Nov/2018:09:03:16 +0100] "GET /ProyectoMVC/login HTTP/1.1" 200 599
0:0:0:0:0:0:0:1 - - [15/Nov/2018:09:03:17 +0100] "GET /ProyectoMVC/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Nov/2018:09:03:17 +0100] "GET /ProyectoMVC/login HTTP/1.1" 200 599
0:0:0:0:0:0:0:1 - - [15/Nov/2018:09:03:17 +0100] "GET /ProyectoMVC/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Nov/2018:09:03:17 +0100] "GET /ProyectoMVC/login HTTP/1.1" 200 599
0:0:0:0:0:0:0:1 - - [15/Nov/2018:09:03:37 +0100] "GET /ProyectoMVC/login HTTP/1.1" 200 485
0:0:0:0:0:0:0:1 - - [15/Nov/2018:09:03:38 +0100] "POST /ProyectoMVC/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Nov/2018:09:03:38 +0100] "GET /ProyectoMVC/listausuarios HTTP/1.1" 200 1305
0:0:0:0:0:0:0:1 - - [15/Nov/2018:09:03:40 +0100] "GET /ProyectoMVC/usuario?id=1 HTTP/1.1" 200 583
0:0:0:0:0:0:0:1 - - [15/Nov/2018:09:03:44 +0100] "GET /ProyectoMVC/usuario?id=1 HTTP/1.1" 200 583
0:0:0:0:0:0:0:1 - - [15/Nov/2018:09:04:02 +0100] "GET /ProyectoMVC/habitacion?hid=426 HTTP/1.1" 200 552
0:0:0:0:0:0:0:1 - - [15/Nov/2018:09:04:02 +0100] "GET /ProyectoMVC/img/images.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2018:09:04:08 +0100] "GET /ProyectoMVC/habitacion?hid=426 HTTP/1.1" 200 552
0:0:0:0:0:0:0:1 - - [15/Nov/2018:09:04:39 +0100] "GET /ProyectoMVC/login HTTP/1.1" 200 485
0:0:0:0:0:0:0:1 - - [15/Nov/2018:09:04:40 +0100] "POST /ProyectoMVC/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Nov/2018:09:04:40 +0100] "GET /ProyectoMVC/listausuarios HTTP/1.1" 200 1305
0:0:0:0:0:0:0:1 - - [15/Nov/2018:09:05:20 +0100] "GET /ProyectoMVC/login HTTP/1.1" 200 485
0:0:0:0:0:0:0:1 - - [15/Nov/2018:09:05:21 +0100] "POST /ProyectoMVC/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Nov/2018:09:05:21 +0100] "GET /ProyectoMVC/listausuarios HTTP/1.1" 200 1305
0:0:0:0:0:0:0:1 - - [15/Nov/2018:09:05:37 +0100] "GET /ProyectoMVC/login HTTP/1.1" 200 485
0:0:0:0:0:0:0:1 - - [15/Nov/2018:09:05:38 +0100] "POST /ProyectoMVC/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Nov/2018:09:05:38 +0100] "GET /ProyectoMVC/listausuarios HTTP/1.1" 200 1221
0:0:0:0:0:0:0:1 - - [15/Nov/2018:09:05:45 +0100] "GET /ProyectoMVC/usuario?id=2 HTTP/1.1" 200 584
0:0:0:0:0:0:0:1 - - [15/Nov/2018:09:05:49 +0100] "GET /ProyectoMVC/habitacion?hid=138 HTTP/1.1" 200 549
0:0:0:0:0:0:0:1 - - [15/Nov/2018:09:05:54 +0100] "GET /ProyectoMVC/habitacion?hid=138 HTTP/1.1" 200 549
0:0:0:0:0:0:0:1 - - [15/Nov/2018:09:06:01 +0100] "GET /ProyectoMVC/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Nov/2018:09:06:01 +0100] "GET /ProyectoMVC/login HTTP/1.1" 200 485
0:0:0:0:0:0:0:1 - - [15/Nov/2018:09:06:03 +0100] "POST /ProyectoMVC/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Nov/2018:09:06:03 +0100] "GET /ProyectoMVC/listausuarios HTTP/1.1" 200 1221
0:0:0:0:0:0:0:1 - - [15/Nov/2018:09:06:19 +0100] "GET /ProyectoMVC/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Nov/2018:09:06:19 +0100] "GET /ProyectoMVC/login HTTP/1.1" 200 485
